casi_section,mimic_section
HOSPITALIZATION COURSE,BRIEF HOSPITAL COURSE
HOSPTAL COURSE,BRIEF HOSPITAL COURSE
ICSI,
ID,ACCESS/ID
IDENTIFYING DATA/HISTORY,
II,
IMAGING AND PROCEDURE DONE DURING THE COURSE OF HOSPITALIZATION,IMAGING
IMAGING AND PROCEDURES DONE DURING HOSPITALIZATION,IMAGING
IMAGING DONE DURING HOSPITALIZATION,IMAGING
IMAGING REVIEWED,IMAGING
IMAGING STUDIES AND PROCEDURE PERFORMED DURING THIS HOSPITALIZATION,IMAGING STUDIES
IMAGING STUDIES AND PROCEDURES PERFORMED DURIGN HOSPITALIZATION,IMAGING STUDIES
IMMUNIZATION HISTORY,IMMUNIZATIONS RECOMMENDED
IMPORTANT LABS AND X-RAYS DONE,PERTINENT LABS
IMPORTANT PROCEDURE AND INVESTIGATIONS DURING HOSPITALIZATION,MAJOR SURGICAL OR INVASIVE PROCEDURE
IMPORTANT TESTS AND IMAGING PERFORMED DURING ADMISSION,IMAGING
IMPRESSION AND ASSESSMENT,IMPRESSION AND PLAN
IMPRESSION AND RECOMMENDATION,IMPRESSION AND PLAN
IMPRESSION AND RECOMMENDATIONS,IMPRESSION AND PLAN
IMPRESSION AT THIS TIME,IMPRESSION
IMPRESSION REPORT & PLAN,IMPRESSION AND PLAN
IMPRESSION REPORT AND PLAN,IMPRESSION AND PLAN
"IMPRESSION, PLAN",IMPRESSION AND PLAN
"IMPRESSION, REPORT AND PLAN",IMPRESSION AND PLAN
IMPRESSION/ PLAN,IMPRESSION AND PLAN
IMPRESSION/RECOMMENDATION,IMPRESSION AND PLAN
IMPRESSION/RECOMMENDATIONS,IMPRESSION AND PLAN
IMPRESSION/REPORT AND PLAN,IMPRESSION AND PLAN
IMPRESSION/REPORT/PLAN,IMPRESSION AND PLAN
IMPRESSIONS AND PLAN,IMPRESSION AND PLAN
IMPRESSIONS AND RECOMMENDATIONS,IMPRESSION AND PLAN
IMPRESSIONS ON DISCHARGE,IMPRESSIONS
"IMPRESSIONS, RECOMMENDATIONS",IMPRESSION AND PLAN
IMPRESSIONS/PLANS,IMPRESSION AND PLAN
INDICATION FOR ADMISSION,INDICATION FOR EXAM
INDICATION FOR CARDIAC CONSULTATION,INDICATION FOR EXAM
INDICATION FOR CARDIOVERSION,INDICATION FOR PROCEDURE
INDICATION FOR CONSULTATION,INDICATION FOR EXAM
INDICATION FOR TRANSFER,REASON FOR TRANSFER
INDICATIONS AND HOSPITAL COURSE,INDICATIONS
INDICATIONS FOR CONSULTATION,INDICATION FOR EXAM
INDUCTION,
INFECTION CONTROL,
INFORMANT,
INFORMANT SOURCES,
INITIAL EVALUATION,EVALUATION
INITIAL EXAMINATION,ADMISSION PHYSICAL EXAMINATION
INITIAL LABORATORY DATA,LABORATORY DATA ON ADMISSION
INITIAL PRESENTATION,ON PRESENTATION
INPATIENT ATTENDING,ATTENDING
INR 0.9,INR
INSTRUCTIONS FOR DISCHARGE,DISCHARGE INSTRUCTIONS
INTERNAL MEDICINE CONSULTATION,
INVESTIGATION AND IMAGING,IMAGING
IRP,
ISCHARGE MEDICATIONS,DISCHARGE MEDICATIONS
ISSUES AT THE TIME OF DISCHARGE,AT TIME OF DISCHARGE
ISSUES OF PRENATAL CARE,PRENATAL COURSE
ISSUES THIS PREGNANCY,THIS PREGNANCY NOTABLE FOR
ISSUES WITH PREGNANCY,THIS PREGNANCY NOTABLE FOR
IUGR,
KEY IMAGING AND PROCEDURES PERFORMED DURING THIS HOSPITALIZATION,
KEY IMAGING AND STUDIES,
KEY IMAGING STUDIES AND PROCEDURE PERFORMED DURING THIS HOSPITALIZATION,IMAGING STUDIES
KEY IMAGING STUDIES AND PROCEDURES PERFORMED DURING THE HOSPITALIZATION,IMAGING STUDIES
KEY IMAGING STUDIES AND PROCEDURES PERFORMED DURING THIS HOSPITALIZATION,IMAGING STUDIES
KEY IMAGING STUDIES AND PROCEDURES PERFORMED ON HOSPITALIZATION,IMAGING STUDIES
KEY IMAGING STUDIES AND PROCEDURES PERFORMED THIS HOSPITALIZATION,IMAGING STUDIES
KEY IMAGING STUDIES AND PROCEDURES PERFORMED THIS HOSPITALIZATION TO DATE,IMAGING STUDIES
KEY INTERVENTIONS/STUDIES/PROCEDURES,PROCEDURES PERFORMED
KEY PROCEDURES/STUDIES PERFORMED,PROCEDURES PERFORMED
LAB AND DIAGNOSTIC DATA,LABORATORY DATA
LAB AND X-RAY DATA ON ADMISSION,LABORATORY DATA
LAB ASSESSMENT,LABS
LAB EVALUATION,LABS
LAB ON ADMISSION,ADMISSION LABS
LABORATOR AND DIAGNOSTIC STUDIES,LABORATORY STUDIES
LABORATORIES AND STUDIES ON ADMISSION,LABORATORY STUDIES ON ADMISSION
LABORATORIES AT TIME OF INTERIM SUMMARY,LABORATORY STUDIES ON ADMISSION
LABORATORY & DIAGNOSTIC DATA,LABORATORY DATA
LABORATORY AND DIAGNOSTIC,LABORATORY DATA
LABORATORY AND DIAGNOSTIC DATA,LABORATORY DATA
LABORATORY AND DIAGNOSTIC DATA/IMAGING,LABORATORY DATA
LABORATORY AND DIAGNOSTIC EVALUATIONS,LABORATORY DATA
LABORATORY AND DIAGNOSTIC STUDIES,LABORATORY DATA
LABORATORY AND DIAGNOSTIC STUDIES ON ADMISSION,LABORATORY DATA
LABORATORY AND DIAGNOSTICS,LABORATORY DATA
LABORATORY AND IMAGING DATA,LABORATORY DATA
LABORATORY AND IMAGING STUDIES,IMAGING STUDIES
LABORATORY AND OTHER DATA,LABORATORY DATA
LABORATORY AND OTHER DIAGNOSTIC DATA INCLUDE,LABORATORY DATA
LABORATORY AND RADIOLOGY RESULTS,LABS / RADIOLOGY
LABORATORY AND X-RAY DATA,LABORATORY DATA
LABORATORY ASSESSMENT,LABORATORY RESULTS
LABORATORY ASSESSMENT UPON ADMISSION,LABORATORY RESULTS
LABORATORY DATA (1/18/02,LABORATORY DATA
LABORATORY DATA (8/23/05,LABORATORY DATA
LABORATORY DATA 11/19/06,LABORATORY DATA
LABORATORY DATA AND IMAGING TESTS,LABORATORY DATA
LABORATORY DATA AVAILABLE FOR REVIEW,LABORATORY DATA
LABORATORY DATA ON ADMISSION FROM OUTSIDE HOSPITAL,LABORATORY DATA
LABORATORY DATA PRIOR TO SURGERY,LABORATORY DATA
LABORATORY DATA/DIAGNOSTICS,LABORATORY DATA
LABORATORY DATA/IMAGING,LABORATORY DATA
LABORATORY EVALUATIONS,LABORATORY EVALUATION
LABORATORY EXAM,LABORATORY EXAMINATION
LABORATORY FINDINGS AND RESULTS,LABORATORY FINDINGS
LABORATORY FINDINGS ON ADMISSION,LABORATORY FINDINGS
LABORATORY RESULTS ON ADMISSION,PERTINENT LABORATORY DATA ON ADMISSION
LABORATORY STUDIES AT THE TIME OF ADMISSION,PERTINENT LABORATORY DATA ON ADMISSION
LABORATORY STUDIES FROM ADMISSION,PERTINENT LABORATORY DATA ON ADMISSION
LABORATORY TESTINGS,LAB TESTS
LABORATORY TESTS,LAB TESTS
LABORATORY TESTS ON ADMISSION,PERTINENT LABORATORY DATA ON ADMISSION
LABORATORY VALUES AND IMAGING,LABORATORY RESULTS
LABORATORY VALUES OF INTEREST,PERTINENT LABORATORY DATA ON ADMISSION
LABORATORY WORK,LAB TESTS
LABORATORY WORK-UP,LAB TESTS
LABORATORY/DIAGNOSTIC DATA,LAB TESTS
LABORATORY/IMAGINGS,LAB TESTS
LABORATORY/X-RAY DATA,LAB TESTS
LABS AND IMAGING ON ADMISSION,PERTINENT LABORATORY DATA ON ADMISSION
LABS AND STUDIES ON ADMISSION,PERTINENT LABORATORY DATA ON ADMISSION
LABS AT THE TIME OF ADMISSION,PERTINENT LABORATORY DATA ON ADMISSION
LABS DONE IN THE HOSPITAL,LABS
LABS EVALUATED DURING THIS HOSPITALIZATION,LABS
LABS ON DAY OF DISCHARGE,LABS ON DISCHARGE
LABS PENDING ON DISCHARGE,LABS ON DISCHARGE
LABS PRIOR TO SURGERY,LABS
LABS STUDIES,LABORATORY RESULTS
LACEY BENOIT,
LLNESS,PRESENT ILLNESS
LONG TERM PLAN,PLAN
LUSB,
MAJOR DIAGNOSIS,ADMITTING DIAGNOSIS
MAJOR DIAGNOSTIC AND THERAPEUTIC PROCEDURES,IMAGING/DIAGNOSTICS
MAJOR IMAGING,IMAGING
MAJOR IMAGING AND PROCEDURES,IMAGING
MAJOR IMAGING AND PROCEDURES DONE DURING HOSPITALIZATION,IMAGING
MAJOR INVESTIGATIONS AND PROCEDURES DONE DURING THIS HOSPITALIZATION,PROCEDURES AND FINDINGS
MAJOR INVESTIGATIONS DONE DURING THIS HOSPITALIZATION,FINDINGS
MAJOR PROCEDURE,MAJOR PROCEDURES
MAJOR PROCEDURE AND TREATMENTS,MAJOR PROCEDURES
MAJOR PROCEDURE PERFORMED,MAJOR PROCEDURES
MAJOR PROCEDURES AND TESTS,MAJOR PROCEDURES
MAJOR PROCEDURES AND TREATMENT PERFORMED,MAJOR PROCEDURES
MAJOR PROCEDURES AND TREATMENT PERFORMED DURING THIS HOSPITALIZATION,MAJOR PROCEDURES
MAJOR PROCEDURES AND TREATMENTS,MAJOR PROCEDURES
MAJOR PROCEDURES DONE DURING HOSPITALIZATION,MAJOR PROCEDURES
MAJOR PROCEDURES DONE DURING THIS ADMISSION,MAJOR PROCEDURES
MAJOR PROCEDURES DURING HOSPITALIZATION,MAJOR PROCEDURES
"MAJOR PROCEDURES, TREATMENTS AND DIAGNOSTIC TESTS",MAJOR PROCEDURES
MAJOR PROCEDURES/IMAGING PERFORMED,MAJOR PROCEDURES
MAJOR PROCEDURES/IMAGING PROFILE,MAJOR PROCEDURES
MAJOR TESTS AND PROCEDURE PERFORMED,MAJOR PROCEDURES
MAJOR TESTS AND PROCEDURES PERFORMED,MAJOR PROCEDURES
MANAGEMENT BY SYSTEM,
MEDICAITONS ON ADMISSION,ADMISSION MEDICATIONS
MEDICAL DECISION-MAKING AND EMERGENCY DEPARTMENT COURSE,EMERGENCY DEPARTMENT COURSE
MEDICAL PROBLEM LIST,OTHER MEDICAL PROBLEMS
MEDICALLY,
MEDICATIOINS PRIOR TO ADMISSION,CURRENT MEDICATIONS
MEDICATION AT THE TIME OF ADMISSION,ADMISSION MEDICATIONS
MEDICATION LIST,CURRENT MEDICATIONS
MEDICATION LIST AS FOLLOWS,CURRENT MEDICATIONS
MEDICATION ON ADMISSION,ADMISSION MEDICATIONS
MEDICATION PRIOR TO ADMISSION,CURRENT MEDICATIONS
MEDICATION WERE,CURRENT MEDICATIONS
MEDICATIONS AT HOME ARE,HOME MEDICATIONS
MEDICATIONS AT PRESENT,CURRENT MEDICATIONS
MEDICATIONS AT THE NURSING HOME,CURRENT MEDICATIONS
MEDICATIONS AT THE TIME OF PRESENTATION,ADMISSION MEDICATIONS
MEDICATIONS AT THE TIME OF TRANSFER,MEDICATIONS ON TRANSFER
MEDICATIONS AT THE TIME OF TRANSFER HERE,MEDICATIONS ON TRANSFER
MEDICATIONS AT TIME OF TRANSFER HERE,MEDICATIONS ON TRANSFER
MEDICATIONS BEFORE ADMISSION,CURRENT MEDICATIONS
MEDICATIONS DISCONTINUED,DISCONTINUED MEDICATIONS
MEDICATIONS IN THE HOSPITAL,ADMISSION MEDICATIONS
MEDICATIONS INCLUDE,CURRENT MEDICATIONS
MEDICATIONS OF DISCHARGE,DISCHARGE MEDICATIONS
MEDICATIONS ON ADMISSION INCLUDE,ADMISSION MEDICATIONS
MEDICATIONS ON DISCHRAGE,DISCHARGE MEDICATIONS
MEDICATIONS ON THIS ADMISSION,ADMISSION MEDICATIONS
MEDICATIONS OUTPATIENT PRIOR TO ADMISSION TO HUTCHINSON,OUTPATIENT MEDICATIONS
MEDICATIONS PREOPERATIVE,PREOPERATIVE MEDICATIONS
MEDICATIONS PRIOR TO SURGERY,PREOPERATIVE MEDICATIONS
MEDICATIONS PRIOR TO THIS ADMISSION,ADMISSION MEDICATIONS
MEDICATIONS UPON DISCHARGE,DISCHARGE MEDICATIONS
MEDICINES,CURRENT MEDICATIONS
MEDICINES AT THE TIME OF DISCHARGE,DISCHARGE MEDICATIONS
MEDS ON DISCHARGE,DISCHARGE MEDICATIONS
MESENTERIC ANGIOGRAM,CT ANGIOGRAM
METABOLIC AND HEMATOLOGIC,METABOLIC
MISSING FIRST PART OF DICTATION,
MMC 185,
MMC 276,
MMC 295,
MMC 395,
MMC 402,
MMC 712,
MMC 75,
MMC 94,
MR,MRI
MVI,MULTIVITAMIN
"MY INTERPRETATION, ASSESSMENT AND PLAN",INTERPRETATION
NARRATIVE SUMMARY,SUMMARY OF HOSPITAL COURSE BY SYSTEMS
NCAT,
NEUROLOGY CONSULTATION,NEUROLOGY
NEUROLOGY IMPRESSION,NEUROLOGY
NEW DISCHARGE MEDICATIONS,DISCHARGE MEDICATIONS
NEW MEDICATIONS UPON DISCHARGE,DISCHARGE MEDICATIONS
NICU COURSE PRIOR TO TRANSFER,NICU COURSE
NON-PSYCHIATRIC MEDICATIONS PRIOR TO ADMISSION,ADMISSION MEDICATIONS
NONE,
NONPSYCHIATRIC MEDICATIONS ON ADMISSION,ADMISSION MEDICATIONS
NONPSYCIATRIC MEDICATIONS,CURRENT MEDICATIONS
NURSING HOME MEDICATIONS,CURRENT MEDICATIONS
O,
OB-GYN,OBGYN
OB-GYN HISTORY,PAST OBSTETRICAL HISTORY
OBJECTIVE ASSESSMENT,ASSESSMENT
OBJECTIVE EXAMINATION,EXAMINATION
OBJECTIVE GENERAL,GENERAL
OBSERVATION/EXAMINATION,EXAMINATION
OBSTETRIC HISTORY,PAST OBSTETRICAL HISTORY
ON ARRIVAL IN THE EMERGENCY ROOM,VS ON ARRIVAL TO ED
ONCOLOGY CONSULTATION,VS ON ARRIVAL TO ED
OPERATION AND PROCEDURE PERFORMED DURING THIS HOSPITAL ADMISSION,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATION/PROCEDURES PERFORMED IN THIS HOSPITAL ADMISSION,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS AND PROCEDURE PERFORMED,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS AND PROCEDURES,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS AND PROCEDURES PERFORMED,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS AND PROCEDURES PERFORMED DURING THIS HOSPITALIZATION,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS PERFORMED,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS/PROCEDURES,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS/PROCEDURES PERFORMED,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS/PROCEDURES PERFORMED THIS ADMISSION,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS/PROCEDURES THIS ADMISSION,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIONS/PROCEDURS PERFORMED,MAJOR SURGICAL/INVASIVE PROCEDURES PERFORMED
OPERATIVE DELIVERY NOTE,OPERATIVE NOTE
OPERATIVE PROCEDURES,OPERATIVE PROCEDURE
OPERATIVE PROCEDURES PERFORMED,OPERATIVE PROCEDURE
OPERATIVE PROCEDURES PERFORMED DURING THIS ADMISSION,OPERATIVE PROCEDURE
OTHER CHRONIC DIAGNOSES,CHRONIC DIAGNOSES
OTHER DISCHARGE INSTRUCTIONS,DISCHARGE INSTRUCTIONS
OTHER FOLLOW UP INSTRUCTIONS,FOLLOWUP INSTRUCTIONS
OTHER LABORATORY,LABORATORY
OTHER MEDICATIONS INCLUDE,CURRENT MEDICATIONS
OTHER NEEDS,
OTHER PERTINENT STUDIES,PERTINENT STUDIES
OTHER RECOMMENDATIONS,RECOMMENDATIONS
OTHER REVIEW OF SYSTEMS,REVIEW OF SYSTEMS
OUT-PATIENT MEDICATIONS,OUTPATIENT MEDICATIONS
OUTPATIENT FOLLOW-UP,FOLLOWUP INSTRUCTIONS
P,
P.R.N. INCLUDES,PRN
PAIN AND SYMPTOM MANAGEMENT,PAIN MANAGEMENT
PAIN ASSESSMENT,REVIEW OF SYMPTOMS
PALLIATIVE ASSESSMENT AND RECOMMENDATIONS,END OF LIFE CARE
PALLIATIVE MEDICINE RECOMMENDATIONS,END OF LIFE CARE
PALLIATIVE MEDICINE SUMMARY,END OF LIFE CARE
PALLIATIVE SUMMARY,END OF LIFE CARE
PAST HISTORY REVIEW,HISTORY OF PRESENT ILLNESS
PAST INFECTIONS,RECENT INFECTIONS
PAST MEDICAL HISTORY / FAMILY HISTORY / SURGICAL,PAST MEDICAL / SURGICAL HISTORY
"PAST MEDICAL HISTORY, HOSPITALIZATIONS, AND SURGERIES",PAST MEDICAL / SURGICAL HISTORY
PAST MEDICAL HISTORY/HISTORY OF PRESENT ILLNESS,PAST MEDICAL HISTORY
PAST MEDICAL HISTORY/MEDICATIONS/ALLERGIES,PAST MEDICAL HISTORY
PAST MEDICAL HISTORY/PAST SURGICAL HISTORY,PAST MEDICAL / SURGICAL HISTORY
PAST MEDICAL HISTORY/PRIOR HOSPITALIZATIONS,PAST MEDICAL HISTORY
PAST MEDICAL HISTORY/SURGICAL HISTORY,PAST MEDICAL / SURGICAL HISTORY
PAST MEDICAL ILLNESS,HISTORY OF PRESENT ILLNESS
PAST MEDICAL/ SURGICAL HISTORY,PAST MEDICAL / SURGICAL HISTORY
PAST MEDICATION HISTORY,DISCHARGE MEDICATIONS
PAST MEDICINES,DISCHARGE MEDICATIONS
PAST NEUROLOGIC HISTORY,NEUROLOGIC STATUS
PAST OB-GYN HISTORY,PAST OBSTETRICAL HISTORY
PAST OBSTETRICAL/GYNECOLOGICAL HISTORY,PAST OBSTETRICAL HISTORY
PAST OBSTETRICS HISTORY,PAST OBSTETRICAL HISTORY
PAST SURGERIES,SURGICAL HISTORY
PAST SURGERIES INCLUDE,SURGICAL HISTORY
PATIENT'S CLINICAL COURSE,CLINICAL COURSE
PE,
PEDIATRIC INFECTIOUS DISEASE CONSULTATION,INFECTIOUS DISEASE
PEDIATRIC INTENSIVE CARE UNIT,INFECTIOUS DISEASE
PENDING DISCHARGE 07/02/2007,DISCHARGE DATE
PERFORMANCE SUB-TEST,
PERFORMANCE SUBTEST,
PERITONEAL DIALYSIS,DIALYSIS
PERSONALITY AND BEHAVIORAL FUNCTIONING,NEUROLOGICAL AND BEHAVIORAL EXAMINATION
PERSONALITY FUNCTIONING,NEUROLOGICAL AND BEHAVIORAL EXAMINATION
PERTINENT HISTORY,HISTORY
PERTINENT IMAGING AND PROCEDURES,PERTINENT RADIOLOGY/IMAGING
PERTINENT IMAGING PERFORMED DURING THIS ADMISSION,PERTINENT RADIOLOGY/IMAGING
PERTINENT IMAGING PROCEDURES,PERTINENT RADIOLOGY/IMAGING
PERTINENT INVESTIGATIONS,
PERTINENT LAB TESTS,PERTINENT RESULTS
PERTINENT LABORATORY EXAMS,PERTINENT LAB RESULTS
PERTINENT LABORATORY STUDIES,PERTINENT LAB RESULTS
PERTINENT LABORATORY TESTS,PERTINENT LAB RESULTS
PERTINENT LABORATORY VALUES,PERTINENT LAB RESULTS
PERTINENT LABS AND DIAGNOSTICS ON ADMISSION,PERTINENT LAB RESULTS
PERTINENT LABS ON ADMISSION,PERTINENT LAB RESULTS
PERTINENT PAST MEDICAL HISTORY,PAST MEDICAL HISTORY
PERTINENT PROCEDURES,PROCEDURE
PERTINENT PROCEDURES AND INVESTIGATIONS,PROCEDURE
PERTINENT PROCEDURES/TESTS,PROCEDURE
PERTINENT RADIOLOGICAL EXAMINATIONS,PERTINENT RADIOLOGY/IMAGING
PERTINENT WORKUP,
PHYSICAL EXAM AT THE TIME OF DISCHARGE,PHYSICAL EXAM
PHYSICAL EXAM AT TIME OF ADMISSION,PHYSICAL EXAM
PHYSICAL EXAM GENERAL,PHYSICAL EXAM
PHYSICAL EXAMINATION (HLI,PHYSICAL EXAM
PHYSICAL EXAMINATION AT ADMISSION,PHYSICAL EXAM
PHYSICAL EXAMINATION AT THE TIME OF ADMISSION,PHYSICAL EXAM
PHYSICAL EXAMINATION BEFORE DISCHARGE,PHYSICAL EXAM
PHYSICAL EXAMINATION GENERAL,PHYSICAL EXAM
"PHYSICAL EXAMINATION HEAD, EYES, EARS, NOSE AND THROAT",PHYSICAL EXAM
PHYSICAL EXAMINATION ON ADMISSION TO 4A,PHYSICAL EXAM
PHYSICAL EXAMINATION ON ADMISSION VITAL SIGNS,PHYSICAL EXAM
PHYSICAL EXAMINATION ON THE DAY OF ADMISSION,PHYSICAL EXAM
PHYSICAL EXAMINATION ON THE DAY OF DISCHARGE,PHYSICAL EXAM
PHYSICAL EXAMINATION TODAY,PHYSICAL EXAM
PHYSICAL EXAMINATION VITAL SIGNS,PHYSICAL EXAM
PHYSICAL EXAMINATION VITALS,PHYSICAL EXAM
PHYSICAL SIGNS,PHYSICAL EXAM
PHYSICAL. EXAMINATION,PHYSICAL EXAM
PHYSICAL. GENERAL,PHYSICAL EXAM
PHYSICIAN FOLLOW UP,FOLLOW UP
PHYSICIAN FOLLOW-UP,FOLLOW UP
PHYSICIAN FOLLOWUP,FOLLOW UP
PHYSICIAN REQUESTING CONSULT,CONSULT REQUESTED BY
PHYSICIAN REQUESTING CONSULTATION,CONSULT REQUESTED BY
PICU,
PLAN & RECOMMENDATIONS,PLANS
PLAN AND RECOMMENDATIONS,PLANS
PLAN AND SUGGESTIONS,PLANS
PLAN OF ACTION,PLANS
PLAN ON ADMISSION,PLANS
PLAN/ACTION,PLANS
PLAN/DISCHARGE MEDICATIONS,PLANS
PLAN/RECOMMENDATIONS,PLANS
PLAN/SUGGESTIONS,PLANS
PLANNED DATE OF DISCHARGE,DATE OF DISCHARGE
PLANS FOR DISCHARGE,PLANS
PM&R CONSULTATION FOLLOW-UP NOTE,PMR
PNMC,
POST PROCEDURE IMPRESSION,POST PROCEDURE
POST-EXTUBATION LABORATORY DATA,EXTUBATION
POSTOP COURSE,POSTOP
POSTPARTUM COURSE,POSTOP
POSTTRANSPLANT COURSE,
PRE-ADMISSION MEDICATIONS,MEDICATIONS ON ADMISSION
PREADMISSION DIAGNOSIS,ADMITTING DIAGNOSIS
PREADMISSION MEDICATIONS,MEDICATIONS ON ADMISSION
PREGNANCY COMPLICATIONS,PREGNANCY
PREGNANCY ISSUES,PREGNANCY
PREHOSPITAL MEDICATIONS,MEDICATIONS ON ADMISSION
PRENATAL CARE,PRENATAL
PRENATAL LABORATORIES,PRENATAL LABS
PRENATAL LABORATORY,PRENATAL LABS
PRENATAL PROFILE,PRENATAL HISTORY
PREOP MEDICATIONS,PREOPERATIVE MEDICATIONS
PREOPERATIVE COURSE,PREOP
PREOPERATIVE PHYSICAL EXAMINATION VITAL SIGNS,PREOP EXAM
PREOPERATIVE STATUS AND JUDGMENT,PREOPERATIVE DIAGNOSES
PRESENT MEDICATION,CURRENT MEDICATIONS
PRESENT MEDICATIONS,CURRENT MEDICATIONS
PRESENT MEDICINES,CURRENT MEDICATIONS
PRESENTATION,CHIEF COMPLAINT
PRESENTING INFORMATION,CHIEF COMPLAINT
PRESENTING PROBLEM,CHIEF COMPLAINT
PREVIOUS CARDIAC STUDIES,CARDIAC STUDIES
PREVIOUS HOME MEDICATIONS,HOME MEDICATIONS
PRIMARY CARE PROVIDERC,PRIMARY CARE DOCTOR
PRIMARY CARE PROVIDERS,PRIMARY CARE DOCTOR
PRIMARY CAREFIVE,PRIMARY CARE DOCTOR
PRIMARY HEALTH CARE PROVIDER,PRIMARY CARE DOCTOR
PRIMARY MD,PRIMARY CARE DOCTOR
PRIMARY PHYSICIAN,PRIMARY CARE DOCTOR
PRIMARY PROCEDURE,PROCEDURE
PRIMARY PROCEDURES,PROCEDURE
PRIMARY PROVIDER,PRIMARY CARE DOCTOR
PRIMARY PULMONARY PHYSICIANS,PRIMARY CARE DOCTOR
PRIMARY-CARE PHYSICIAN,PRIMARY CARE DOCTOR
PRIMARY-CARE PROVIDERS,PRIMARY CARE DOCTOR
PRINCIPAL DIAGNOSES,PRINCIPAL DIAGNOSIS
PRINCIPAL DIDIAGNOSES,PRINCIPAL DIAGNOSIS
PRINCIPAL DISCHARGE DIAGNOSES,FINAL DISCHARGE DIAGNOSES
PRINCIPAL FINAL DIAGNOSES,FINAL DIAGNOSIS
PRINCIPAL PROCDURES,PROCEDURE
PRINCIPAL PROCEDURES,PROCEDURE
PRINCIPLE DIAGNOSIS,PRINCIPAL DIAGNOSIS
PRIOR HOSPITALIZATIONS AND SURGERY,PAST MEDICAL / SURGICAL HISTORY
"PRIOR HOSPITALIZATIONS, SURGERIES AND MEDICAL PROBLEMS",PAST MEDICAL / SURGICAL HISTORY
PRIOR SURGERIES,PAST SURGICAL HISTORY
PRIOR SURGERY,PAST SURGICAL HISTORY
PRIOR SURGICAL HISTORY,PAST SURGICAL HISTORY
PRIVATE MEDICAL DOCTOR,
PRN MEDICATION,PRN
PRN MEDICATIONS,PRN
PROBLEM # 1,PROBLEMS
PROBLEM # 2,PROBLEMS
PROBLEM # 3,PROBLEMS
PROBLEM # 4,PROBLEMS
PROBLEM # 5,PROBLEMS
PROBLEM # 8,PROBLEMS
PROBLEM # 9,PROBLEMS
PROBLEM #1,PROBLEMS
PROBLEM #10,PROBLEMS
PROBLEM #11,PROBLEMS
PROBLEM #12,PROBLEMS
PROBLEM #2,PROBLEMS
PROBLEM #2. ARDS,PROBLEMS
PROBLEM #2. ENT,PROBLEMS
PROBLEM #2. GI,PROBLEMS
PROBLEM #3,PROBLEMS
PROBLEM #3. GVHD,PROBLEMS
PROBLEM #4,PROBLEMS
PROBLEM #4. CV,PROBLEMS
PROBLEM #5,PROBLEMS
PROBLEM #5. HIV,PROBLEMS
PROBLEM #6,PROBLEMS
PROBLEM #7,PROBLEMS
PROBLEM #8,PROBLEMS
PROBLEM #9,PROBLEMS
PROBLEM 2,PROBLEMS
PROBLEM 3,PROBLEMS
PROBLEM BASED HOSPITAL COURSE,PROBLEMS
PROBLEM LIST UPON DISCHARGE,PROBLEMS
PROBLEM PRESENTED AT ADMISSION,PROBLEMS
PROBLEM#1,PROBLEMS
PROBLEM#9,PROBLEMS
PROBLEM-ORIENTED HOSPITAL COURSE,PROBLEMS
PROBLEMS ADDRESSED DURING TRANSITIONAL CARE STAY,PROBLEMS
PROBLEMS ENCOUNTERED IN THE HOSPITAL,PROBLEMS
PROBLEMS PRESENTED AT ADMISSION,PROBLEMS
PROBLEMS PRESENTED AT ADMSSION,PROBLEMS
PROBLEMS PRESENTED ON ADMISSION,PROBLEMS
PROBLEMS THAT ARE SOLVED,PROBLEMS
PROCDURES,PROCEDURE
PROCEDURE DURING HOSPITAL COURSE,PROCEDURE
PROCEDURE IN HOSPITAL,PROCEDURE
PROCEDURE LIST,PROCEDURE
PROCEDURE LIST AS FOLLOWS,PROCEDURE
PROCEDURE PERFORMED DURING THE HOSPITAL STAY,PROCEDURE
PROCEDURE PERFORMED DURING THIS ADMISSION,PROCEDURE
PROCEDURE PERFORMED WHILE IN THE HOSPITAL,PROCEDURE
PROCEDURE THIS ADMISSION,PROCEDURE
PROCEDURE/STUDIES PERFORMED,PROCEDURE
PROCEDURES AND ADMISSION LABS AND STUDIES PERFORMED,PROCEDURE
PROCEDURES AND CONSULTS,PROCEDURE
PROCEDURES AND DIAGNOSTIC STUDIES,PROCEDURE
PROCEDURES AND IMAGING,PROCEDURE
PROCEDURES AND INVESTIGATIONS,PROCEDURE
PROCEDURES AND LAB TESTS,PROCEDURE
PROCEDURES AND OPERATIONS,PROCEDURE
